No,;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
1;0;;0;0,021542;0,021542;;0,021542;0;-0,021542
2;0,021542;;0,021542;0,021542;0;;0;0;0
3;0,021542;;0,021542;0,021542;0;;0;0;0
4;0,021542;;0,021542;0,021542;0;;0;0;0
5;0,021542;;0,021542;0,021542;0;;0;0;0
6;0,021542;;0,021542;0,021542;0;;0;0;0
7;0,021542;;0,021542;0,021542;0;;0;0;0
8;0,021542;;0,021542;0,021542;0;;0;0;0
9;0,021542;;0,021542;0,021542;0;;0;0;0
10;0,021542;;0,021542;0,021542;0;;0;0;0
11;0,021542;;0,021542;0,021542;0;;0;0;0
12;0,021542;;0,021542;0,021542;0;;0;0;0
13;0,021542;;0,021542;0,021542;0;;0;0;0
14;0,021542;;0,021542;0,021542;0;;0;0;0
15;0,021542;;0,021542;0,021542;0;;-0,000529;0,000529;0,001058
16;0,021542;;0,021542;0,022071;0,000529;;0,000373;0,000156;-0,000217
17;0,022071;;0,022071;0,022227;0,000156;;5,5E-05;0,000101;4,6E-05
18;0,022227;;0,022227;0,022328;0,000101;;2,5E-05;7,6E-05;5,1E-05
19;0,022328;;0,022328;0,022404;7,6E-05;;3E-06;7,3E-05;7E-05
20;0,022404;;0,022404;0,022477;7,3E-05;;-1,1E-05;8,4E-05;9,5E-05
21;0,022477;;0,022477;0,022561;8,4E-05;;1,5E-05;6,9E-05;5,4E-05
22;0,022561;;0,022561;0,02263;6,9E-05;;-1E-06;7E-05;7,1E-05
23;0,02263;;0,02263;0,0227;7E-05;;-0,00147;0,00154;0,00301
24;0,0227;;0,0227;0,02424;0,00154;;-0,005705;0,007245;0,01295
25;0,02424;;0,02424;0,031485;0,007245;;-0,192563;0,199808;0,392371
26;0,031485;;0,031485;0,231293;0,199808;;0,189812;0,009996;-0,179816
27;0,231293;;0,231293;0,241289;0,009996;;0,009996;0;-0,009996
28;0,241289;;0,241289;0,241289;0;;0;0;0
29;0,241289;;0,241289;0,241289;0;;0;0;0
30;0,241289;;0,241289;0,241289;0;;0;0;0
31;0,241289;;0,241289;0,241289;0;;0;0;0
32;0,241289;;0,241289;0,241289;0;;0;0;0
33;0,241289;;0,241289;0,241289;0;;0;0;0
34;0,241289;;0,241289;0,241289;0;;0;0;0
35;0,241289;;0,241289;0,241289;0;;0;0;0
36;0,241289;;0,241289;0,241289;0;;0;0;0
37;0,241289;;0,241289;0,241289;0;;-0,000435;0,000435;0,00087
38;0,241289;;0,241289;0,241724;0,000435;;-0,001269;0,001704;0,002973
39;0,241724;;0,241724;0,243428;0,001704;;0,001431;0,000273;-0,001158
40;0,243428;;0,243428;0,243701;0,000273;;-0,028031;0,028304;0,056335
41;0,243701;;0,243701;0,272005;0,028304;;0,027862;0,000442;-0,02742
